"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2015","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","243,000",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","10,000",""
"2015","Moldova","Oil and petroleum products","Total","Thousand tonnes","14,000",""
"2015","Ukraine","Oil and petroleum products","Total","Thousand tonnes","121,000",""
"2015","Georgia","Oil and petroleum products","Total","Thousand tonnes","265,000",""
"2016","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","350.873,965",""
"2016","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","409.979,053",""
"2016","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","296.724,793",""
"2016","Belgium","Oil and petroleum products","Total","Thousand tonnes","29.369,000",""
"2016","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","4.571,000",""
"2016","Czechia","Oil and petroleum products","Total","Thousand tonnes","2.253,000",""
"2016","Denmark","Oil and petroleum products","Total","Thousand tonnes","12.881,724",""
"2016","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","22.934,000",""
"2016","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.115,380",""
"2016","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.634,000",""
"2016","Greece","Oil and petroleum products","Total","Thousand tonnes","18.223,000",""
"2016","Spain","Oil and petroleum products","Total","Thousand tonnes","25.130,000",""
"2016","France","Oil and petroleum products","Total","Thousand tonnes","20.595,000",""
"2016","Croatia","Oil and petroleum products","Total","Thousand tonnes","2.076,000",""
"2016","Italy","Oil and petroleum products","Total","Thousand tonnes","29.505,000",""
"2016","Cyprus","Oil and petroleum products","Total","Thousand tonnes","16,000",""
"2016","Latvia","Oil and petroleum products","Total","Thousand tonnes","807,000",""
"2016","Lithuania","Oil and petroleum products","Total","Thousand tonnes","8.536,000",""
"2016","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","11,195",""
"2016","Hungary","Oil and petroleum products","Total","Thousand tonnes","3.003,000",""
"2016","Malta","Oil and petroleum products","Total","Thousand tonnes","273,000",""
"2016","Netherlands","Oil and petroleum products","Total","Thousand tonnes","113.902,476",""
"2016","Austria","Oil and petroleum products","Total","Thousand tonnes","2.757,742",""
"2016","Poland","Oil and petroleum products","Total","Thousand tonnes","7.349,000",""
"2016","Portugal","Oil and petroleum products","Total","Thousand tonnes","6.681,000",""
"2016","Romania","Oil and petroleum products","Total","Thousand tonnes","5.176,448",""
"2016","Slovenia","Oil and petroleum products","Total","Thousand tonnes","2.045,000",""
"2016","Slovakia","Oil and petroleum products","Total","Thousand tonnes","4.125,000",""
"2016","Finland","Oil and petroleum products","Total","Thousand tonnes","9.065,000",""
"2016","Sweden","Oil and petroleum products","Total","Thousand tonnes","16.839,000",""
"2016","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2016","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2016","Norway","Oil and petroleum products","Total","Thousand tonnes","86.199,000",""
"2016","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","59.105,088",""
"2016","Montenegro","Oil and petroleum products","Total","Thousand tonnes","15,000",""
"2016","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","109,975",""
"2016","Albania","Oil and petroleum products","Total","Thousand tonnes","907,000",""
"2016","Serbia","Oil and petroleum products","Total","Thousand tonnes","744,000",""
"2016","Turkey","Oil and petroleum products","Total","Thousand tonnes","6.489,000",""
"2016","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes","221,000",""
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","11,000",""
"2016","Moldova","Oil and petroleum products","Total","Thousand tonnes","16,000",""
"2016","Ukraine","Oil and petroleum products","Total","Thousand tonnes","48,000",""
"2016","Georgia","Oil and petroleum products","Total","Thousand tonnes","136,000",""
"2017","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","357.778,524",""
"2017","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","419.224,620",""
"2017","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","305.576,848",""
"2017","Belgium","Oil and petroleum products","Total","Thousand tonnes","33.809,000",""
"2017","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","4.799,850",""
"2017","Czechia","Oil and petroleum products","Total","Thousand tonnes","2.454,000",""
"2017","Denmark","Oil and petroleum products","Total","Thousand tonnes","10.844,473",""
"2017","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","23.497,000",""
